,name,price,brend,url,voltage,country,capacity
0,Аккумулятор 12v 7ah акб agm 1207,,SKAT,https://www.wildberries.ru/catalog/149737382/detail.aspx,12.0,Китай,7.0
1,"Аккумулятор SF 1212, 12Ач, аккумуляторная батарея 12В",,Security Force,https://www.wildberries.ru/catalog/45502816/detail.aspx,12.0,Китай,12.0
2,"Аккумулятор SF 1207, 7Ач, аккумуляторная батарея 12В",,Security Force,https://www.wildberries.ru/catalog/40724205/detail.aspx,12.0,Китай,7.0
3,Аккумулятор для ибп 12v 7 Ah F1/T1 осветительных приборов,,Thomas,https://www.wildberries.ru/catalog/166716193/detail.aspx,12.0,Китай,7.0
4,"Аккумулятор ибп 12v 7.5 Ah F2/T2 детской машинки, мотоцикла",,NPP,https://www.wildberries.ru/catalog/166716200/detail.aspx,12.0,Китай,7.5
5,"Аккумулятор для ибп 12v 12 Ah F2/T2 эхолота, фонаря, весов",,Thomas,https://www.wildberries.ru/catalog/194125715/detail.aspx,12.0,Китай,12.0
6,Аккумулятор для ибп 12v 7 Ah F1/T1 осветительных приборов,,Thomas,https://www.wildberries.ru/catalog/194125712/detail.aspx,12.0,Китай,7.0
7,Аккумулятор для ибп 12v 9 Ah F2/T2 на бесперебойник для дома,,NPP,https://www.wildberries.ru/catalog/194125708/detail.aspx,12.0,Китай,9.0
8,Аккумулятор Prometheus Energy PE 1212L 12Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223663995/detail.aspx,12.0,Китай,12.0
9,Аккумулятор Prometheus Energy PE 1218 18Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664003/detail.aspx,12.0,Китай,18.0
10,Аккумулятор Prometheus Energy PE 1209L 9.2Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664011/detail.aspx,12.0,Китай,9.2
11,"Аккумулятор для ибп 12v 7,2Ah F2/T2 детской машины, эхолота",,ZUBR,https://www.wildberries.ru/catalog/196431776/detail.aspx,12.0,Китай,7.2
12,"Аккумулятор для ибп 12v 12Ah F2/T2 на бесперебойник, эхолот",,NPP,https://www.wildberries.ru/catalog/194125704/detail.aspx,12.0,Китай,12.0
13,Аккумулятор 12v 18 Ah M5/T3 для охранных пожарных систем,,Thomas,https://www.wildberries.ru/catalog/194125717/detail.aspx,12.0,Китай,18.0
14,"Аккумулятор для ибп 12v 7 Ah F2/T2 видеонаблюдения, кассы",,ATLANT,https://www.wildberries.ru/catalog/168341676/detail.aspx,12.0,Китай,7.0
15,"Аккумулятор для ибп 12v 9 Ah F2/T2 весов, фонаря, насоса",,ZUBR,https://www.wildberries.ru/catalog/194125738/detail.aspx,12.0,Китай,9.0
16,Аккумулятор 12v 7 Ah F1/T1 для пожарной сигнализации,,Thomas,https://www.wildberries.ru/catalog/194125716/detail.aspx,12.0,Китай,7.0
17,"Аккумулятор для ибп 12v 5Ah F2/T2 фонариков, весов, эхолотов",,NPP,https://www.wildberries.ru/catalog/170658701/detail.aspx,12.0,Китай,5.0
18,Аккумулятор для ибп 12v 7 Ah F1/T1 радиоуправляемой машинки,,NPP,https://www.wildberries.ru/catalog/194125687/detail.aspx,12.0,Китай,7.0
19,"Аккумулятор для ибп 12v 12 Ah F2/T2 эхолота, фонаря, весов",,Thomas,https://www.wildberries.ru/catalog/170875218/detail.aspx,12.0,Китай,12.0
20,Аккумулятор для ибп 12v 5 Ah F2/T2 радиоуправляемой машинки,,ZUBR,https://www.wildberries.ru/catalog/166716199/detail.aspx,12.0,Китай,5.0
21,"Аккумулятор для ибп 12v 7.2 Ah T2 детского мотоцикла, машины",,Thomas,https://www.wildberries.ru/catalog/214740442/detail.aspx,12.0,Китай,7.2
22,"Аккумулятор для ибп 12v 7.2 Ah F2/T2 инкубатора, эхолота",,ZUBR,https://www.wildberries.ru/catalog/166716187/detail.aspx,12.0,Китай,7.2
23,Аккумулятор для ибп 12v 5 Ah F2/T2 радиоуправляемой машинки,,ZUBR,https://www.wildberries.ru/catalog/194125735/detail.aspx,12.0,Китай,5.0
24,"Аккумулятор 4v 4.5Ah F1/T1 для кассы, эхолота, фонаря, весов",,NPP,https://www.wildberries.ru/catalog/194125706/detail.aspx,4.0,Китай,4.5
25,"Аккумулятор ибп 12v 7.5 Ah F2/T2 детской машинки, мотоцикла",,NPP,https://www.wildberries.ru/catalog/194125700/detail.aspx,12.0,Китай,7.5
26,"Аккумулятор для ибп 12v 12Ah F2/T2 насосов, электропастухов",,ZUBR,https://www.wildberries.ru/catalog/194125736/detail.aspx,12.0,Китай,12.0
27,Аккумулятор LA-1270 12V 7Ah,,GoPower,https://www.wildberries.ru/catalog/90178459/detail.aspx,12.0,Китай,7.0
28,Аккумулятор 12v Yellow VL 12-12,,YELLOW,https://www.wildberries.ru/catalog/161320890/detail.aspx,12.0,Китай,12.0
29,Аккумулятор Yellow VL 12-7.5 для детского электромобиля 12v,,YELLOW,https://www.wildberries.ru/catalog/161312115/detail.aspx,12.0,Китай,7.5
30,Аккумуляторная батарея AGM 12V 7Ah 1270 для ИБП и др,,Neata Battery,https://www.wildberries.ru/catalog/188514941/detail.aspx,12.0,Китай,7.0
31,Аккумулятор LA-1290 12V 9Ah,,GoPower,https://www.wildberries.ru/catalog/90178129/detail.aspx,12.0,Китай,9.0
32,"Аккумулятор для ибп 12v 4.5Ah F2/T2 детской машины, фонарика",,NPP,https://www.wildberries.ru/catalog/194125693/detail.aspx,12.0,Китай,4.5
33,Аккумулятор 1270/security 12V 7Ah,,GoPower,https://www.wildberries.ru/catalog/90131066/detail.aspx,12.0,Китай,7.0
34,"Аккумулятор для ибп 12v 7.2 Ah F2/T2 инкубатора, эхолота",,ZUBR,https://www.wildberries.ru/catalog/194125734/detail.aspx,12.0,Китай,7.2
35,"Аккумулятор 6v 2,8 Ah F1/T1 для кассы, фонаря, весов",,NPP,https://www.wildberries.ru/catalog/194125703/detail.aspx,6.0,Китай,2.8
36,Аккумуляторная батарея AGM 12V 100Ah 12100 для ИБП и др,,Neata Battery,https://www.wildberries.ru/catalog/172580097/detail.aspx,12.0,Китай,100.0
37,"Аккумуляторная батарея КОНТАКТ КТА 12-7, 12 В 7 Ач",,,https://www.wildberries.ru/catalog/145869011/detail.aspx,12.0,Вьетнам,7.0
38,"Аккумулятор LA-1272 12V 7,2Ah",,GoPower,https://www.wildberries.ru/catalog/171408069/detail.aspx,12.0,Китай,72.0
39,Аккумулятор Delta DTM 1207 (12V / 7Ah),,DELTA BATTERY,https://www.wildberries.ru/catalog/104603912/detail.aspx,12.0,Китай,72.0
40,Аккумулятор GSL 18-12 12В 18Ач 12V 18Ah,,General Security,https://www.wildberries.ru/catalog/175329199/detail.aspx,12.0,Китай,18.0
41,Аккумуляторная батарея SVC AV9-12/S 12В 9 Ач,,SVC,https://www.wildberries.ru/catalog/170867415/detail.aspx,12.0,,9.0
42,Аккумулятор GS 9-12 12V 9Ah (12В 9Ач),,General Security,https://www.wildberries.ru/catalog/148018214/detail.aspx,12.0,Китай,9.0
43,Аккумулятор Delta DT 1207 (12V / 7Ah),,DELTA BATTERY,https://www.wildberries.ru/catalog/104602943/detail.aspx,12.0,Китай,7.0
44,Аккумулятор для бесперебойника GP 12V 100 Ач,,Sunways,https://www.wildberries.ru/catalog/111316024/detail.aspx,12.0,Китай,100.0
45,Аккумулятор ибп 12v 40Ah M6/T14 котлов и насосов отопления,,Thomas,https://www.wildberries.ru/catalog/168341680/detail.aspx,12.0,Китай,40.0
46,Аккумуляторная батарея Delta GEL 12-75 (12V / 75Ah),,Delta,https://www.wildberries.ru/catalog/166566821/detail.aspx,12.0,Китай,75.0
47,Аккумулятор для инкубатора - 12v вольт 7Ah - BT 1207,,BATBEE,https://www.wildberries.ru/catalog/33021346/detail.aspx,12.0,Китай,7.0
48,"Аккумулятор 12V, для ИБП, тяговый,12v 9ah, A12HR-36W",,Challenger,https://www.wildberries.ru/catalog/213059294/detail.aspx,12.0,Китай,9.0
49,Аккумулятор для бесперебойника GEL 12V 100 Ач,,Sunways,https://www.wildberries.ru/catalog/110739241/detail.aspx,12.0,Китай,100.0
50,Аккумулятор 12v вольт 40Ah - FB 40-12,,Alfa Battery,https://www.wildberries.ru/catalog/144688681/detail.aspx,12.0,Китай,40.0
51,Аккумуляторная батарея CSB GP1272 F2 (12V28W),,CSB Battery,https://www.wildberries.ru/catalog/151516704/detail.aspx,12.0,,28.0
52,Аккумуляторная батарея КТ 12-17 12V 17А/ч Контакт,,unisistem,https://www.wildberries.ru/catalog/157004264/detail.aspx,12.0,Вьетнам,17.0
53,Аккумулятор Prometheus Energy PE 1218L 18Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664004/detail.aspx,12.0,Китай,18.0
54,"Аккумулятор BT 12045 12V 4.5Ah 12В 4,5Ач",,Battbee,https://www.wildberries.ru/catalog/95655027/detail.aspx,12.0,Китай,4.5
55,"Батарея SVEN SV 1290 (12V 9Ah), F1",,Sven,https://www.wildberries.ru/catalog/71651284/detail.aspx,12.0,Китай,9.0
56,Аккумуляторная батарея Security Power SP 12-7 F1 12V/7Ah,,security power,https://www.wildberries.ru/catalog/142544030/detail.aspx,12.0,Китай,7.0
57,Аккумулятор Prometheus Energy PE 1207 7.2Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223663996/detail.aspx,12.0,Китай,7.2
58,Аккумулятор Prometheus Energy PE 1212 12Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664002/detail.aspx,12.0,Китай,12.0
59,Аккумулятор Prometheus Energy PE 1234W 9Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664001/detail.aspx,12.0,Китай,9.0
60,Аккумулятор SF 1212 12V 12Ah 12В 12Ач,,Security Force,https://www.wildberries.ru/catalog/92518748/detail.aspx,12.0,Китай,12.0
61,Аккумулятор Prometheus Energy PE 1207 7.2Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664006/detail.aspx,12.0,Китай,7.0
62,"Аккумуляторная батарея GS 12В 9АЧ для систем охраны, ИБП",,General Security,https://www.wildberries.ru/catalog/142614077/detail.aspx,12.0,Китай,9.0
63,Аккумуляторная батарея Battbee BT 1207 12V 7Ah,,Battbee,https://www.wildberries.ru/catalog/172942431/detail.aspx,12.0,Китай,7.0
64,Аккумулятор Prometheus Energy PE 1209 9.2Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223663999/detail.aspx,12.0,Китай,9.2
65,Аккумулятор ALFA FB 7.2-12 12V 7 Ah 12В 7.2Ач,,Alfa Battery,https://www.wildberries.ru/catalog/139044381/detail.aspx,12.0,Китай,7.2
66,Аккумулятор 12v вольт 7Ah - SF 1207,,Security Force,https://www.wildberries.ru/catalog/34858079/detail.aspx,,Китай,7.0
67,"Аккумуляторная батарея КОНТАКТ КТ 12-40, 12 В 40 Ач",,,https://www.wildberries.ru/catalog/145869021/detail.aspx,12.0,Вьетнам,40.0
68,Аккумулятор 12в 9ач GP-S 12-9,,ЭТК Энергия,https://www.wildberries.ru/catalog/216797040/detail.aspx,12.0,Китай,9.0
69,Аккумулятор BT 1207 12v 7ah,,Battbee,https://www.wildberries.ru/catalog/91110306/detail.aspx,12.0,Китай,7.0
70,Аккумулятор для детского электромобиля premium,,world brands of Russia,https://www.wildberries.ru/catalog/165460551/detail.aspx,,,
71,"Аккумулятор для детскогo электромобиля, электромотоцикла.",,world brands of Russia,https://www.wildberries.ru/catalog/153292382/detail.aspx,,,
72,Аккумулятор 12v вольт 7Ah - BT 1207,,BATBEE,https://www.wildberries.ru/catalog/34857664/detail.aspx,12.0,Китай,7.0
73,"Аккумуляторная батарея КОНТАКТ КТ 12-4.5, 12 В 4.5 Ач",,,https://www.wildberries.ru/catalog/145869005/detail.aspx,12.0,Вьетнам,4.5
74,Аккумулятор Delta DT 1207 12V 7Ah AGM,,DELTA BATTERY,https://www.wildberries.ru/catalog/93058015/detail.aspx,12.0,Китай,7.0
75,Аккумулятор 12v вольт 7Ah - HR 12-7.2,,Delta,https://www.wildberries.ru/catalog/35643156/detail.aspx,12.0,Китай,7.2
76,Аккумулятор 12v вольт 7.2 Ah - CSB GP 1272 F2 (28W),,CSB,https://www.wildberries.ru/catalog/200549017/detail.aspx,,Вьетнам,7.2
77,Тяговый аккумулятор ELTRECO ОТ12-12 (6-F-12) 12V 12A/H,,Eltreco,https://www.wildberries.ru/catalog/177398631/detail.aspx,12.0,Китай,12.0
78,Аккумулятор BT 12045 12v 4.5ah,,Battbee,https://www.wildberries.ru/catalog/91110307/detail.aspx,12.0,Китай,4.5
79,Аккумулятор для детского электромобиля premium,,world brands of Russia,https://www.wildberries.ru/catalog/156760642/detail.aspx,,,
80,Аккумулятор CK 1218 12v 18Ah,,Восток,https://www.wildberries.ru/catalog/42729553/detail.aspx,12.0,Китай,18.0
81,Аккумуляторная батарея AGM 12V 55Ah 1255 для ИБП и др,,Neata Battery,https://www.wildberries.ru/catalog/172398520/detail.aspx,12.0,Китай,55.0
82,Аккумулятор 12в 7ач GP-S 12-7,,ЭТК Энергия,https://www.wildberries.ru/catalog/216797039/detail.aspx,12.0,Китай,7.0
83,Аккумулятор DJM 1275H 12V 75Ah 12В 75Ач,,LEOCH,https://www.wildberries.ru/catalog/176048608/detail.aspx,12.0,Китай,75.0
84,Аккумулятор для бесперебойника GEL 12V 200 Ач,,Sunways,https://www.wildberries.ru/catalog/158552504/detail.aspx,12.0,Китай,200.0
85,"Батарея SVEN SV 1272 (12V 7,2Ah)",,Sven,https://www.wildberries.ru/catalog/71652380/detail.aspx,12.0,Китай,9.0
86,Аккумулятор для бесперебойника GEL 12V 150 Ач,,Sunways,https://www.wildberries.ru/catalog/158552503/detail.aspx,12.0,Китай,150.0
87,Аккумулятор SF 12012 12V 1.2Ah 12В 1.2Ач,,Security Force,https://www.wildberries.ru/catalog/92518742/detail.aspx,12.0,Китай,1.2
88,"Аккумулятор КТ 12-7,2 (12V 7,2AH)",,Аккумуляторы КОНТАКТ,https://www.wildberries.ru/catalog/166790951/detail.aspx,12.0,Вьетнам,72.0
89,Аккумулятор 12V 1.2 Аh,,Электрон34,https://www.wildberries.ru/catalog/138983786/detail.aspx,12.0,Китай,
90,Аккумулятор для ибп 12v 9 Ah F2/T2 на бесперебойник для дома,,NPP,https://www.wildberries.ru/catalog/166716192/detail.aspx,12.0,Китай,9.0
91,"Аккумуляторная батарея КОНТАКТ КТ 12-17, 12 В 17 Ач",,,https://www.wildberries.ru/catalog/145869016/detail.aspx,12.0,Вьетнам,17.0
92,"Аккумулятор DJW 12-0,8, 0,8Ач, аккумуляторная батарея 12В",,LEOCH,https://www.wildberries.ru/catalog/51279835/detail.aspx,12.0,Китай,0.8
93,"Аккумулятор Delta DTM 12012 12V (1,2 Ач)",,DELTA BATTERY,https://www.wildberries.ru/catalog/102303061/detail.aspx,12.0,Китай,1.2
94,"Аккумулятор для детскогo электромобиля, электромотоцикла.",,world brands of Russia,https://www.wildberries.ru/catalog/153292381/detail.aspx,,,
95,FIAMM 12FGHL22 12V/5Ah,,FIAMM,https://www.wildberries.ru/catalog/168484254/detail.aspx,12.0,Китай,5.0
96,Аккумулятор ALFA FB 7.2-12 12V 7 Ah 12В 7.2Ач,,Alfa Battery,https://www.wildberries.ru/catalog/221826953/detail.aspx,12.0,Китай,7.2
97,Аккумулятор Delta DTM 1255 L 12V 55Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/93074185/detail.aspx,12.0,Китай,55.0
98,"Аккумулятор для детскогo электромобиля, электромотоцикла.",,world brands of Russia,https://www.wildberries.ru/catalog/153292385/detail.aspx,,,
99,"Аккумулятор BT 12012 12V 1.2Ah 12В 1,2Ач",,Battbee,https://www.wildberries.ru/catalog/95659653/detail.aspx,12.0,Китай,1.2
100,Аккумулятор SF 1207 12V 7Ah 12В 7Ач,,Security Force,https://www.wildberries.ru/catalog/92518747/detail.aspx,12.0,Китай,7.0
101,Аккумулятор Delta DTM 1209 12V 9Ah AGM,,DELTA BATTERY,https://www.wildberries.ru/catalog/92110871/detail.aspx,12.0,Китай,9.0
102,"Батарея SVEN SV 1270 (12V 7Ah), F2",,Sven,https://www.wildberries.ru/catalog/71660137/detail.aspx,12.0,Китай,9.0
103,Аккумулятор LA-1245 12V 4.5Ah,,GoPower,https://www.wildberries.ru/catalog/90168452/detail.aspx,12.0,Китай,4.5
104,General Security Аккумулятор 1.2Ah 12v GS 1.2-12,,General Security,https://www.wildberries.ru/catalog/161193223/detail.aspx,12.0,Китай,1.2
105,Аккумулятор Kijo 12V 6-DZF-12Ah (M5),,KIJO,https://www.wildberries.ru/catalog/161870243/detail.aspx,12.0,Китай,12.0
106,"Аккумулятор ALFA FB 1.2-12 12V 1.2Ah 12В 1,2Ач",,Alfa Battery,https://www.wildberries.ru/catalog/139044382/detail.aspx,12.0,Китай,
107,"Батарея SVEN SV 12120 (12V 12Ah), F2",,Sven,https://www.wildberries.ru/catalog/72683714/detail.aspx,12.0,Китай,9.0
108,Аккумулятор BT 1212 12V 12Ah 12В 12Ач,,Battbee,https://www.wildberries.ru/catalog/95655030/detail.aspx,12.0,Китай,12.0
109,"Аккумулятор для бесперебойника GP 12V 7,2 Ач",,Sunways,https://www.wildberries.ru/catalog/83985306/detail.aspx,12.0,Китай,72.0
110,"Аккумуляторная батарея GS 12В 4,5АЧ для фонаря, ИБП",,General Security,https://www.wildberries.ru/catalog/142614058/detail.aspx,12.0,Китай,4.5
111,Аккумулятор 12V DTM 1209,,DELTA BATTERY,https://www.wildberries.ru/catalog/43052885/detail.aspx,12.0,Китай,9.0
112,"Аккумулятор GSL 1.2-12 1.2Ач 12V 1,2Ah",,General Security,https://www.wildberries.ru/catalog/175316104/detail.aspx,12.0,Китай,1.2
113,Аккумулятор Delta DTM 12045 12v 4.5Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/33788778/detail.aspx,12.0,Китай,4.5
114,"Аккумулятор для детскогo электромобиля, электромотоцикла.",,world brands of Russia,https://www.wildberries.ru/catalog/153292379/detail.aspx,,,
115,Аккумулятор DTM 1207 12v 7Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/33788764/detail.aspx,12.0,Китай,7.0
116,"Батарея SVEN SV 12170 (12V 17Ah), T1",,Sven,https://www.wildberries.ru/catalog/72684051/detail.aspx,12.0,Китай,9.0
117,Аккумулятор для детского электромобиля premium,,world brands of Russia,https://www.wildberries.ru/catalog/156760637/detail.aspx,,,
118,Аккумулятор Delta HR 12-51W 12V 12Ah AGM,,DELTA BATTERY,https://www.wildberries.ru/catalog/93072951/detail.aspx,12.0,Китай,12.0
119,Аккумулятор HRL 12-26 X 12v 28Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/33788698/detail.aspx,12.0,Китай,28.0
120,Аккумуляторная батарея КТ 12-7.2 12V 7.2А/ч Контакт,,,https://www.wildberries.ru/catalog/157038023/detail.aspx,,,
121,Аккумулятор для детского электромобиля premium,,world brands of Russia,https://www.wildberries.ru/catalog/156760639/detail.aspx,,,
122,"Аккумулятор для детскогo электромобиля, электромотоцикла.",,world brands of Russia,https://www.wildberries.ru/catalog/153292383/detail.aspx,,,
123,Аккумулятор Kijo 12V 12 Ah (F2),,KIJO,https://www.wildberries.ru/catalog/155194005/detail.aspx,12.0,Китай,12.0
124,"Аккумуляторная батарея КОНТАКТ КТ 12-12, 12 В 12 Ач",,,https://www.wildberries.ru/catalog/145869015/detail.aspx,12.0,Вьетнам,12.0
125,Аккумуляторная батарея LEOCH DJW12-7.0 12 В 7.0 Ач,,LEOCH,https://www.wildberries.ru/catalog/145562292/detail.aspx,12.0,Китай,7.0
126,Аккумулятор Delta GEL 12-55 (12V / 55Ah),,DELTA BATTERY,https://www.wildberries.ru/catalog/150041727/detail.aspx,12.0,Китай,55.0
127,Аккумулятор 12V DTM 12008,,DELTA BATTERY,https://www.wildberries.ru/catalog/89153428/detail.aspx,12.0,Китай,0.8
128,Аккумулятор Восток СК 1209 12V 9Ah AGM,,ВОСТОК PRO,https://www.wildberries.ru/catalog/139012195/detail.aspx,12.0,Китай,9.0
129,Аккумулятор 12v вольт 7Ah - FB 7.2-12,,Alfa Battery,https://www.wildberries.ru/catalog/36010407/detail.aspx,12.0,Китай,7.2
130,Аккумуляторная батарея Delta CGD 12-12 (12V / 12Ah),,Delta,https://www.wildberries.ru/catalog/166564627/detail.aspx,12.0,Китай,12.0
131,Аккумулятор DT 12032 12v 3.3Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/103959095/detail.aspx,12.0,Китай,3.3
132,"Аккумулятор для ибп 12v 18 Ah M5/T3 котла, весов, компьютера",,NPP,https://www.wildberries.ru/catalog/194125701/detail.aspx,12.0,Китай,18.0
133,Аккумулятор GEL 12V 15Ah для ИБП свинцово-кислотный,,Asterion Battery,https://www.wildberries.ru/catalog/185070424/detail.aspx,12.0,Китай,15.0
134,Аккумулятор GP 1290 F2 12В 9Ач 12V 9Ah,,WBR,https://www.wildberries.ru/catalog/195832940/detail.aspx,12.0,Китай,9.0
135,Аккумуляторная батарея AGM 12V 9Ah 1209 для ИБП и др,,Neata Battery,https://www.wildberries.ru/catalog/172398514/detail.aspx,12.0,Китай,9.0
136,Аккумулятор 12V DT 12045,,DELTA BATTERY,https://www.wildberries.ru/catalog/78473492/detail.aspx,12.0,Китай,4.5
137,Аккумулятор Prometheus Energy PE 1218 (18Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673788/detail.aspx,12.0,Китай,18.0
138,Аккумулятор Prometheus Energy PE 1218L (18Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673791/detail.aspx,12.0,Китай,18.0
139,Аккумулятор Prometheus Energy PE 1209L (9.2Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673799/detail.aspx,12.0,Китай,9.2
140,Аккумулятор Prometheus Energy PE 1209 (9.2Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673797/detail.aspx,12.0,Китай,9.2
141,Аккумулятор Prometheus Energy PE 1207 (7.2Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673786/detail.aspx,12.0,Китай,7.0
142,Аккумулятор Prometheus Energy PE 1207 (7.2Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673795/detail.aspx,12.0,Китай,7.2
143,Аккумулятор GS 40-12 12V 40Ah (12В 40Ач),,General Security,https://www.wildberries.ru/catalog/148018209/detail.aspx,12.0,Китай,40.0
144,Аккумуляторная батарея GS 12В 12АЧ для ИБП,,General Security,https://www.wildberries.ru/catalog/142614080/detail.aspx,12.0,Китай,12.0
145,Аккумуляторная батарея Kiper UPS-12360 F2 12V/8Ah,,Kiper Power,https://www.wildberries.ru/catalog/142543789/detail.aspx,12.0,Китай,8.0
146,Аккумулятор 12V DT 12012,,DELTA BATTERY,https://www.wildberries.ru/catalog/42952627/detail.aspx,12.0,Китай,1.2
147,Аккумулятор CGD 1212 12v 12Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/41606603/detail.aspx,12.0,Китай,12.0
148,Аккумулятор свинцово-кислотный GoPower LA-1212 12V 1.2Ah,,GoPower,https://www.wildberries.ru/catalog/43523876/detail.aspx,12.0,Китай,12.0
149,Аккумулятор BT 1218 12V 18Ah 12В 18Ач,,Battbee,https://www.wildberries.ru/catalog/95655032/detail.aspx,12.0,Китай,18.0
150,Аккумулятор 12V вольт 17Ah - SF 1217,,Security Force,https://www.wildberries.ru/catalog/34858114/detail.aspx,,Китай,17.0
151,"Аккумулятор Delta DTM 12008 12V (0,8 Ач)",,DELTA BATTERY,https://www.wildberries.ru/catalog/102300775/detail.aspx,12.0,Китай,0.8
152,Аккумулятор BT 1218 12v 18Ah,,Battbee,https://www.wildberries.ru/catalog/91110304/detail.aspx,12.0,Китай,18.0
153,Аккумулятор BT 12012 12v 1.2ah,,Battbee,https://www.wildberries.ru/catalog/91110313/detail.aspx,12.0,Китай,1.2
154,Аккумулятор CK 1212 12v 12Ah,,Восток,https://www.wildberries.ru/catalog/41823443/detail.aspx,12.0,Китай,12.0
